Experiment,year,site,start_date,new_start_date,end_date,new_end_date,operation,Column
LongTermLiming,1972,stackyard,14-Mar-72,14/03/1972,,,"P, K applied",
LongTermLiming,1972,stackyard,15-Mar-72,15/03/1972,,,seed drilled,
LongTermLiming,1972,stackyard,03-Jul-72,03/07/1972,,,"plots cut, carted, because the crop hand failed, plots were very weedy",
LongTermLiming,1972,stackyard,04-Jul-72,04/07/1972,,,plots rotary cultivated three times,
LongTermLiming,1972,stackyard,18-Jul-72,18/07/1972,,,plots rotary cultivated three times,
LongTermLiming,1972,stackyard,31-Jul-72,31/07/1972,,,plots rotary cultivated three times,
LongTermLiming,1972,stackyard,15-Aug-72,15/08/1972,,,combine harvested,
LongTermLiming,1973,sawyers,29-Nov-72,29/11/1972,,,ploughed,
LongTermLiming,1973,sawyers,26-Feb-73,26/02/1973,,,"P, K applied",
LongTermLiming,1973,sawyers,12-Mar-73,12/03/1973,,,"power harrowed, seed sown",
LongTermLiming,1973,sawyers,15-May-73,15/05/1973,,,Weedkiller applied,
LongTermLiming,1973,sawyers,02-Jul-73,02/07/1973,,,Plots without lime rotary cultivated,
LongTermLiming,1973,sawyers,10-Aug-73,10/08/1973,,,combine harvested,
LongTermLiming,1973,stackyard,28-Sep-72,28/09/1972,,,Deep-tine cultivated,
LongTermLiming,1973,stackyard,27-Dec-72,27/12/1972,,,ploughed,
LongTermLiming,1973,stackyard,2B-Feb-1973,28/02/1973,,,"P, K applied",
LongTermLiming,1973,stackyard,08-Mar-73,08/03/1973,,,N applied,
LongTermLiming,1973,stackyard,12-Mar-73,12/03/1973,,,seed sown,
LongTermLiming,1973,stackyard,11-May-73,11/05/1973,,,Weedkiller applied,
LongTermLiming,1973,stackyard,02-Jul-73,02/07/1973,,,Certain plots without lime rotary cultivated,
LongTermLiming,1973,stackyard,13-Aug-73,13/08/1973,,,combine harvested,
LongTermLiming,1974,sawyers,19-Nov-73,19/11/1973,,,ploughed,
LongTermLiming,1974,sawyers,23-Apr-74,23/04/1974,,,Basal N applied,
LongTermLiming,1974,sawyers,24-Apr-74,24/04/1974,,,"Treatment P, K, Mg applied, spike rotary cultivated, potatoes late",
LongTermLiming,1974,sawyers,17-May-74,17/05/1974,,,Weedkiller applied,
LongTermLiming,1974,sawyers,19-Jun-74,19/06/1974,,,Grubbed,
LongTermLiming,1974,sawyers,21-Jun-74,21/06/1974,,,rotary ridged,
LongTermLiming,1974,sawyers,11-Jul-74,11/07/1974,,,Fungicide with insecticide applied,
LongTermLiming,1974,sawyers,02-Aug-74,02/08/1974,,,Fungicide applied,
LongTermLiming,1974,sawyers,10-Sep-73,10/09/1973,,,Haulm mechanically destroyed,
LongTermLiming,1974,sawyers,19-Sep-73,19/09/1973,,,sprayed with undiluted BOV at 225 l,
LongTermLiming,1974,sawyers,30-Oct-73,30/10/1973,,,Lifted,
