experiment,year,new start date,new end date,operation,operation type,sections,Amount,Units,crop,variety,dressing,machine,cropped section,orig_operation
R/BK/1,1968,04/03/1968,,seed drilled,seeding process,spring beans,200,lb/acre,spring beans,Maris Bead,,,spring beans,seed drilled at 200 lb
R/BK/1,1968,07/12/1967,,seed drilled,seeding process,winter wheat,180,lb/acre,winter wheat,Capelle Desprez,,,winter wheat,seed drilled at 180 lb
R/BK/1,1969,10/04/1969,,machine planted. Once grown chitted from Rothamsted farm. Paracrinkle virus free,seeding process,potatoes,,,potatoes,King Edward,,,potatoes,potatoes machine planted
R/BK/1,1969,24/03/1969,,seed drilled,seeding process,spring beans,200,lb/acre,spring beans,Maris Bead,,,spring beans,seed drilled at 200 lb
R/BK/1,1969,17/10/1968,,seed drilled,seeding process,winter wheat,180,lb/acre,winter wheat,Capelle Desprez,,,winter wheat,seed drilled at 180 lb
R/BK/1,1970,30/04/1970,,machine planted,seeding process,potatoes,,,potatoes,King Edward,,,potatoes,potatoes machine planted
R/BK/1,1970,21/03/1970,,seed drilled,seeding process,spring beans,200,lb/acre,spring beans,Maris Bead,,,spring beans,seed drilled at 200 lb
R/BK/1,1970,15/10/1969,,seed drilled,seeding process,winter wheat,180,lb/acre,winter wheat,Cappelle Desprez,,,winter wheat,seed drilled at 180 lb
R/BK/1,1971,03/04/1971,,machine planted,seeding process,potatoes,,,potatoes,King Edward,,,potatoes,potatoes machine planted
R/BK/1,1971,25/02/1971,,seed drilled,seeding process,spring beans,220,kg/ha,spring beans,Maris Bead,,,spring beans,seed drilled at 224 kg
R/BK/1,1971,09/10/1970,,seed drilled,seeding process,winter wheat,220,kg/ha,winter wheat,Cappelle Desprez,,,winter wheat,seed drilled at 202 kg
R/BK/1,1972,19/04/1972,,machine planted,seeding process,potatoes,,,potatoes,King Edward,,,potatoes,potatoes machine planted
R/BK/1,1972,16/03/1972,,seed drilled,seeding process,spring beans,220,kg/ha,spring beans,Maris Bead,,,spring beans,seed drilled
R/BK/1,1972,22/10/1971,,seed drilled,seeding process,winter wheat,200,kg/ha,winter wheat,Cappelle Desprez,dieldrin,,winter wheat,seed drilled
R/BK/1,1973,06/04/1973,,machine planted,seeding process,potatoes,,,potatoes,King Edward,,,potatoes,potatoes machine planted
R/BK/1,1973,09/03/1973,,seed sown,seeding process,spring beans,220,kg/ha,spring beans,Maris Bead,,,spring beans,seed sown
R/BK/1,1973,17/10/1972,,seed sown,seeding process,winter wheat,200,kg/ha,winter wheat,Cappelle Desprez,dieldrin,,winter wheat,seed sown
R/BK/1,1974,17/04/1974,,machine planted,seeding process,potatoes,,,potatoes,King Edward,,,potatoes,potatoes machine planted
R/BK/1,1974,27/03/1974,,seed sown,seeding process,spring beans,220,kg/ha,spring beans,Maris Bead,,,spring beans,
R/BK/1,1974,18/10/1973,,seed sown,seeding process,winter wheat,200,kg/ha,winter wheat,Cappelle Desprez,dieldrin,,winter wheat,
R/BK/1,1975,07/05/1975,,planted,seeding process,potatoes,,,potatoes,King Edward,,,potatoes,planted
R/BK/1,1975,25/03/1975,,seed sown,seeding process,spring beans,220,kg/ha,spring beans,Minor,,,spring beans,
R/BK/1,1975,07/11/1974,,seed sown,seeding process,winter wheat,200,kg/ha,winter wheat,Cappelle Desprez,dieldrin,,winter wheat,seed sown
R/BK/1,1976,29/03/1976,,machine planted,seeding process,potatoes,,,potatoes,Pentland Crown,,,potatoes,potatoes machine planted
R/BK/1,1976,04/03/1976,,seed sown,seeding process,spring beans,220,kg/ha,spring beans,Minden,,,spring beans,seed sown
R/BK/1,1976,16/10/1975,,seed sown,seeding process,winter wheat,200,kg/ha,winter wheat,Cappelle Desprez,chlorfenvinphos,,winter wheat,seed sown
R/BK/1,1977,19/04/1977,,machine planted,seeding process,potatoes,,,potatoes,Pentland Crown,,,potatoes,potatoes machine planted
R/BK/1,1977,10/03/1977,,seed sown,seeding process,spring beans,220,kg/ha,spring beans,Minden,,,spring beans,seed sown
R/BK/1,1978,09/05/1978,,planted,seeding process,potatoes,,,potatoes,Pentland Crown,,,potatoes,planted
R/BK/1,1978,10/03/1978,,seed sown,seeding process,spring beans,200,kg/ha,spring beans,Minden,,,spring beans,
R/BK/1,1978,19/10/1977,,seed sown,seeding process,winter wheat,200,kg/ha,winter wheat,Cappelle Desprez,chlorfenvinphos,,winter wheat,seed sown
R/BK/1,1979,10/10/1978,,seed sown,seeding process,cropped sections,200,kg/ha,winter wheat,Flanders,,,cropped sections,seed sown
R/BK/1,1979,14/05/1979,,planted,seeding process,potatoes,,,potatoes,Pentland Crown,,,potatoes,planted
