experiment,year,cropped section,new start date,new end date,operation,sections,method,operation type,flag,intensity,Amount,Units,water,water unit,variety,dressing,machine,orig_operation
Broadbalk,1971,winter wheat,15/04/1971,,"dicamba, mecoprop, MCPA as Banlene Plus",except 8,,chemical pest control process,3,,5.6,l/ha,220,l/ha,,,,"MCPA, mecoprop and Dicamba as 'Banlene Plus' at 5.6 l in 220 l"
Broadbalk,1972,fallow sections,10/09/1971,,aminotriazole,sections 5,,chemical pest control process,3,,4.5,kg/ha,220,l/ha,,,,"aminotriazole at 4,5 kg plus ammonium thiocyanate at 4,2 kg in 220 1."
Broadbalk,1972,fallow sections,10/09/1971,,ammonium thiocyanate,section 5,,chemical pest control process,3,,4.2,kg/ha,220,l/ha,,,,
Broadbalk,1972,potatoes,10/09/1971,,aminotriazole,,,chemical pest control process,3,,4.5,kg/ha,220,l/ha,,,,"aminotriazole at 4,5 kg plus ammonium thiocyanate at 4,2 kg in 220 1."
Broadbalk,1972,potatoes,10/09/1971,,ammonium thiocyanate,,,chemical pest control process,3,,4.2,kg/ha,220,l/ha,,,,
Broadbalk,1972,potatoes,16/09/1971,,undiluted BOV,,sprayed,chemical pest control process,3,,150,l/ha,,,,,,sprayed with undiluted BOV at 150 l
Broadbalk,1972,potatoes,17/05/1972,,Linuron,(except sections 8),sprayed,chemical pest control process,3,,0.84,kg/ha,440,l/ha,,,,"sprayed with linuron, paraquat"
Broadbalk,1972,potatoes,17/05/1972,,Paraquat,(except sections 8),sprayed,chemical pest control process,3,,0.42,kg/ha,440,l/ha,,,,
Broadbalk,1972,potatoes,12/07/1972,,Mancozeb,,,chemical pest control process,3,,1.4,kg/ha,440,l/ha,,,,mancozeb at 1.4 kg in 440
Broadbalk,1972,potatoes,21/07/1972,,Mancozeb,,,chemical pest control process,3,,1.4,kg/ha,440,l/ha,,,,mancozeb at 1.4 kg in 440
Broadbalk,1972,potatoes,21/07/1972,,phorate,,granules,chemical pest control process,3,,1.1,kg/ha,,,,,,"phorate at 1.1 kg applied as granules,"
Broadbalk,1972,potatoes,10/08/1972,,Mancozeb,,,chemical pest control process,3,,1.4,kg/ha,440,l/ha,,,,mancozeb at 1.4 kg in 440
