record_id,source_id,sequence,Experiment,harvest_year,plots,start_date_orig,start date,end_date_orig,end_date,primary_activity,flag,record,crop,form,purpose,rate,unit,water_volume,water_volume_unit,method,orig_record
,197,,R/BK/1,1949,fallow sections,,27/06/1949,,,AGRO_00000110:AGRO_00000220,2,Thistles cut,,,,,,,,,Thistles cut
,198,,R/BK/1,1949,fallow sections,,04/07/1949,,05/07/1949,AGRO_00000002,2,Ploughed,,,,,,,,,Ploughed
,199,,R/BK/1,1949,fallow sections,,18/07/1949,,,AGRO_00000004,2,Harrowed,,,c_3498,,,,,,Harrowed
,200,,R/BK/1,1949,fallow sections,,20/07/1949,,,AGRO_00000004,2,Harrowed,,,c_3498,,,,,,Ring rolled and Harrowed
,203,,R/BK/1,1950,cropped sections,,05/09/1949,,08/09/1949,AGRO_00000004,2,Harrowed,,,c_3498,,,,,,"Harrowed, seed drilled and harrowed twice"
,203,,R/BK/1,1950,cropped sections,,05/09/1949,,08/09/1949,AGRO_00000004,2,Harrowed twice,,,c_3498,,,,,,"Harrowed, seed drilled and harrowed twice"
,204,,R/BK/1,1950,cropped sections,,15/10/1949,,01/11/1949,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,Springtine harrowed
,206,,R/BK/1,1950,cropped sections,,04/11/1949,,08/11/1949,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,Springtine harrowed
,207,,R/BK/1,1950,cropped sections,,20/04/1950,,,AGRO_01000000,2,Nitrogenous fertilisers applied,,,c_5195,,,,,,Nitrogenous fertilisers applied
,208,,R/BK/1,1950,cropped sections,,27/04/1950,,,AGRO_00000004,2,Harrowed,,,c_3498,,,,,,Harrowed
,214,,R/BK/1,1950,fallow sections,,15/10/1949,,01/11/1949,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,Springtine harrowed
,215,,R/BK/1,1950,fallow sections,,04/11/1949,,08/11/1949,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,Springtine harrowed
,216,,R/BK/1,1950,fallow sections,,12/12/1949,,,AGRO_00000002,2,Ploughed,,,,,,,,,Ploughed
,217,,R/BK/1,1950,fallow sections,,02/01/1950,,07/01/1950,AGRO_00000002,2,Ploughed,,,,,,,,,Ploughed
,218,,R/BK/1,1950,fallow sections,,13/03/1950,,,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,Springtine harrowed
,219,,R/BK/1,1950,fallow sections,,22/04/1950,,,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,Springtine harrowed
,220,,R/BK/1,1950,fallow sections,,13/05/1950,,,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,Springtine harrowed
,222,,R/BK/1,1950,fallow sections,,02/08/1950,,03/08/1950,AGRO_00000002,2,Ploughed,,,,,,,,,Ploughed
,223,,R/BK/1,1950,fallow sections,,08/08/1950,,,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,Springtine harrowed
,229,,R/BK/1,1951,cropped sections,,11/04/1951,,,AGRO_01000000,2,Spring application of nitrogenous fertilisers,,,c_5195,,,,,,Spring application of nitrogenous fertilisers
,232,,R/BK/1,1951,fallow sections,,24/08/1950,,,AGRO_00000002,2,Ploughed,,,,,,,,,Ploughed
,233,,R/BK/1,1951,fallow sections,,24/04/1951,,,AGRO_00000002,2,Ploughed,,,,,,,,,Ploughed
,234,,R/BK/1,1951,fallow sections,,09/07/1951,,,AGRO_00000002,2,Ploughed,,,,,,,,,Ploughed
,235,,R/EX/4,1949,all plots,,03/01/1949,,10/01/1949,AGRO_00000002,2,Ploughed,,,,,,,,,ploughed
,238,,R/EX/4,1949,all plots,,24/03/1949,,,AGRO_01000020,2,Harrowed in,,,c_3498,,,,,,"Sulphate of ammonia applied, harrowed in"
,242,,R/EX/4,1950,all plots,,30/08/1949,,01/09/1949,AGRO_00000002,2,Ploughed,,,,,,,,,ploughed
,244,,R/EX/4,1950,all plots,,16/12/1949,,,AGRO_00000002,2,Ploughed,,,,,,,,,ploughed
,247,,R/EX/4,1950,all plots,,14/03/1950,,,AGRO_00000004,2,Harrowed,,,c_3498,,,,,,Harrowed
,249,,R/EX/4,1950,all plots,,15/03/1950,,,AGRO_01000020,2,Harrowed in,,,c_3498,,,,,,"seed drilled, harrowed in, rolled"
,250,,R/EX/4,1950,all plots,,30/05/1950,,,AGRO_00000110:AGRO_00000220,2,Thistles cut,,,,,,,,,Thistles cut
,253,,R/EX/4,1951,all plots,,29/08/1950,,,AGRO_00000002,2,Ploughed,,,,,,,,,ploughed
,254,,R/EX/4,1951,all plots,,27/01/1951,,,AGRO_00000002,2,Ploughed,,,,,,,,,ploughed
,259,,R/HB/2,1948,all plots,,22/11/1947,,28/11/1947,AGRO_00000002,2,Ploughed,,,,,,,,,ploughed
,261,,R/HB/2,1948,all plots,,01/03/1948,,05/03/1948,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,springtine harrowed
,264,,R/HB/2,1948,all plots,,30/03/1948,,,AGRO_00000004,2,Harrowed,,,c_3498,,,,,,Harrowed
,266,,R/HB/2,1948,all plots,,06/04/1948,,,AGRO_01000020,2,Harrowed in,,,c_3498,,,,,,Harrowed in
,268,,R/HB/2,1948,all plots,,05/07/1948,,14/07/1948,AGRO_00000023:AGRO_00000217,2,Wild oats hand pulled,,,,,,,,,Wild oats hand pulled
,269,,R/HB/2,1948,all plots,,30/07/1948,,10/08/1948,AGRO_00000023:AGRO_00000217,2,Wild oats hand pulled,,,,,,,,,Wild oats hand pulled
,272,,R/HB/2,1948,all plots,,30/09/1947,,,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,springtine harrowed
,274,,R/HB/2,1949,all plots,,11/09/1948,,25/09/1948,AGRO_00000002,2,Ploughed,,,,,,,,,ploughed
,278,,R/HB/2,1949,all plots,,18/02/1949,,,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,springtine harrowed
,279,,R/HB/2,1949,all plots,,23/03/1949,,,AGRO_00000110:AGRO_00000220,2,Thistles cut,,,,,,,,,thistles cut
,281,,R/HB/2,1949,all plots,,24/03/1949,,,AGRO_01000020,2,Harrowed in,,,c_3498,,,,,,Harrowed in
,284,,R/HB/2,1949,all plots,,18/07/1949,,28/07/1949,AGRO_00000023:AGRO_00000217,2,Wild oats hand pulled various days,,,,,,,,,Wild oats hand pulled various days
,287,,R/HB/2,1950,all plots,,24/08/1949,,26/08/1949,AGRO_00000002,2,Ploughed,,,,,,,,,ploughed
,294,,R/HB/2,1950,all plots,,24/03/1950,,,AGRO_00000004,2,Harrowed,,,c_3498,,,,,,Harrowed
,296,,R/HB/2,1950,all plots,,25/03/1950,,,AGRO_01000020,2,Harrowed in,,,c_3498,,,,,,Harrowed in
,299,,R/HB/2,1950,all plots,,26/05/1950,,,AGRO_00000110:AGRO_00000220,2,Thistles cut,,,,,,,,,thistles cut
,303,,R/HB/2,1951,all plots,,04/09/1950,,,AGRO_00000002,2,Ploughed,,,,,,,,,ploughed
,387,,RFW3,1874,cropped section,,30/10/1873,,,AGRO_00000142,2,Seed sown,,,,,,,,,seed sown
,388,,RFW3,1880,cropped section,,29/10/1879,,,AGRO_00000142,2,Seed sown,,,,,,,,,seed sown
,389,,RFW3,1881,cropped section,,26/10/1880,,,AGRO_00000142,2,Seed sown,,,,,,,,,seed sown
,390,,RFW3,1883,cropped section,,07/11/1882,,,AGRO_00000142,2,Seed sown,,,,,,,,,seed sown
,391,,RFW3,1884,cropped section,,23/10/1883,,,AGRO_00000142,2,Seed sown,,,,,,,,,seed sown
,392,,RFW3,1885,cropped section,,25/10/1884,,,AGRO_00000142,2,Seed sown,,,,,,,,,seed sown
,393,,RFW3,1886,cropped section,,25/10/1885,,,AGRO_00000142,2,Seed sown,,,,,,,,,seed sown
