source_id,experiment,year,cropped section,new start date,new end date,operation,operation type,Amount,Units
255,Exhaustion Land,1951,all plots,16/04/1951,,Seed drilled at 3 bushels per acre,,,
256,Exhaustion Land,1951,all plots,16/04/1951,,Sulphate of ammonia drilled,,,
257,Exhaustion Land,1951,all plots,03/09/1951,,Plumage Archer,,,
258,Hoosfield,1948,all plots,18/09/1947,20/09/1947,Shallow ploughed,,,
259,Hoosfield,1948,all plots,22/11/1947,28/11/1947,ploughed,,,
260,Hoosfield,1948,all plots,24/11/1947,,dung applied,,,
261,Hoosfield,1948,all plots,01/03/1948,05/03/1948,springtine harrowed,,,
262,Hoosfield,1948,all plots,10/03/1948,11/03/1948,Artificials applied,,,
263,Hoosfield,1948,all plots,27/03/1948,,thistles cleared,,,
264,Hoosfield,1948,all plots,30/03/1948,,Harrowed,,,
265,Hoosfield,1948,all plots,31/03/1948,,seed drilled,,,
266,Hoosfield,1948,all plots,06/04/1948,,Harrowed in,,,
267,Hoosfield,1948,all plots,10/04/1948,,rolled,,,
268,Hoosfield,1948,all plots,05/07/1948,14/07/1948,Wild oats hand pulled,,,
269,Hoosfield,1948,all plots,30/07/1948,10/08/1948,Wild oats hand pulled,,,
270,Hoosfield,1948,all plots,09/08/1948,,Wild oats scythed,,,
271,Hoosfield,1948,all plots,30/08/1948,,harvested,,,
272,Hoosfield,1948,all plots,30/09/1947,,springtine harrowed,,,
273,Hoosfield,1948,Note,,,"On plots 50, 5A and 5C, sections badly infected with wild oats were scythed out and discarded. On all other plots the full area was harvested",,,
274,Hoosfield,1949,all plots,11/09/1948,25/09/1948,ploughed,,,
275,Hoosfield,1949,all plots,24/09/1948,,dung applied,,,
276,Hoosfield,1949,all plots,25/09/1948,,ploughed in,,,
277,Hoosfield,1949,all plots,20/12/1948,30/12/1948,Reploughed,,,
278,Hoosfield,1949,all plots,18/02/1949,,springtine harrowed,,,
279,Hoosfield,1949,all plots,23/03/1949,,thistles cut,,,
280,Hoosfield,1949,all plots,24/03/1949,,seed drilled,,,
281,Hoosfield,1949,all plots,24/03/1949,,Harrowed in,,,
282,Hoosfield,1949,all plots,31/03/1949,,Ring rolled,,,
283,Hoosfield,1949,all plots,13/05/1949,,sprayed with Denocate to kill off weeds,,,
284,Hoosfield,1949,all plots,18/07/1949,28/07/1949,Wild oats hand pulled various days,,,
285,Hoosfield,1949,all plots,11/08/1949,,harvested,,,
286,Hoosfield,1949,variety,,,Plumage Archer,,,
287,Hoosfield,1950,all plots,24/08/1949,26/08/1949,ploughed,,,
288,Hoosfield,1950,all plots,12/10/1949,,springtined,,,
289,Hoosfield,1950,all plots,05/11/1949,,springtined,,,
290,Hoosfield,1950,all plots,02/12/1949,,dung applied,,,
291,Hoosfield,1950,all plots,16/03/1950,20/03/1950,applied all fertilizers except silicate of soda,,,
292,Hoosfield,1950,all plots,21/03/1950,,springtined,,,
293,Hoosfield,1950,all plots,24/03/1950,,springtined,,,
294,Hoosfield,1950,all plots,24/03/1950,,Harrowed,,,
295,Hoosfield,1950,all plots,24/03/1950,,seed drilled,,,
296,Hoosfield,1950,all plots,25/03/1950,,Harrowed in,,,
297,Hoosfield,1950,all plots,27/03/1950,,rolled,,,
298,Hoosfield,1950,all plots,20/04/1950,,Silicate of soda applied,,,
299,Hoosfield,1950,all plots,26/05/1950,,thistles cut,,,
300,Hoosfield,1950,all plots,30/05/1950,,D.N.O.C applied,,,
301,Hoosfield,1950,all plots,14/08/1950,16/08/1950,harvested,,,
302,Hoosfield,1950,variety,,,Plumage Archer,,,
303,Hoosfield,1951,all plots,04/09/1950,,ploughed,,,
304,Hoosfield,1951,all plots,01/02/1951,,dung applied,,,
305,Hoosfield,1951,all plots,21/04/1951,,fertilizers applied,,,
306,Hoosfield,1951,all plots,25/04/1951,,seed drilled,3,bushels/acre,
307,Hoosfield,1951,all plots,26/06/1951,,sprayed with D.N.O.C 1 gallon per acre,,,
308,Hoosfield,1951,all plots,11/09/1951,,harvested,,,
309,Hoosfield,1951,variety,,,Plumage Archer,,,
310,RFW3,1856,cropped section,01/09/1856,,harvest date,,,
311,RFW3,1857,cropped section,18/08/1857,,harvest date,,,
312,RFW3,1858,cropped section,12/08/1858,,harvest date,,,
313,RFW3,1859,cropped section,11/08/1859,12/08/1859,harvest date,,,
314,RFW3,1860,cropped section,01/10/1860,02/10/1860,harvest date,,,
315,RFW3,1861,cropped section,24/08/1861,26/08/1861,harvest date,,,
316,RFW3,1862,cropped section,05/09/1862,,harvest date,,,
317,RFW3,1863,cropped section,19/08/1863,,harvest date,,,
318,RFW3,1864,cropped section,,,,,,
