ï»¿source_id,Code,year,Date,plot,orig_record,record,Rate,Unit,flag,water volume,water unit,type,comments,Season,Month / GS
10292,2015/W/CS/439,2015,12/06/2015,,Sprayed Odin,Sprayed Odin,0.75,l/ha,2,200,l/ha,p,,,
10293,2015/W/CS/439,2015,06/08/2015,,Topped,Topped plots,,,2,,,t,,,
10294,2016/W/CS/439,2015,25/09/2015,,Sprayed Firebrand + Samurai,Sprayed Firebrand,1.0,l/ha,2,150,l/ha,p,,,
10294,2016/W/CS/439,2015,25/09/2015,,Sprayed Firebrand + Samurai,Sprayed Samurai,4.0,l/ha,2,150,l/ha,p,,,
10295,2016/W/CS/439,2015,24/11/2015,,Strimmed and tidied plots,Strimmed and tidied plots - Prep for planting,,,2,,,m,,,
10296,2016/W/CS/439,2015,26/11/2015,,Planted Crusoe tr. Redigo,"Planted Crusoe tr Redigo, by hand",,,2,450,seeds/m2,s,,,
10297,2016/W/CS/439,2015,26/11/2015,,Errected bird netting,Errected bird netting,,,2,,,pc,,,
10298,06/W/CS/427,2006,05/10/2005,,Azural,Azural,3.00,l/ha,2,200,l/ha,p,,,
10299,06/W/CS/427,2006,07/11/2005,,Chalk,Chalk,1.00,t/ha,2,,,ch,,,
10300,06/W/CS/427,2006,07/11/2005,,Spaded,Spaded,,,2,,,c,,,
10301,06/W/CS/427,2006,08/11/2005,,Rolled,Rolled,,,2,,,c,,,
10302,06/W/CS/427,2006,14/11/2005,,Combination Drilled,Combination drilled,,,2,,,s,,,
10303,06/W/CS/427,2006,14/11/2005,,XI19 tr ???,Xi19 tr ???,,,2,400.00,seeds/m2,s,,,
10304,06/W/CS/427,2006,16/11/2005,,Rolled,Rolled,,,2,,,c,,,
10305,06/W/CS/427,2006,18/11/2005,,Dursban WG,Dursban WG,1.00,kg/ha,2,200,l/ha,p,,,
10306,06/W/CS/427,2006,02/03/2006,,Muriate of Potash,Muriate of Potash,,,2,83.33,kg/ha,f,,,
10307,06/W/CS/427,2006,10/03/2006,,Triple Superphosphate,Triple superphosphate,,,2,21.28,kg/ha,f,,,
