experiment,year,site,type,treatment,amount,orig_treatment,op_join,tank_mixture
CS326,1990,great knott,weedkiller,isoproturon,2.1 kg in 200 l,isoproturon at 2.1 kg in 200 l,isoproturon,1
CS326,1990,great knott,weedkiller,fluroxypyr,0.20 kg,fluroxypyr at 0.20 kg with fenoxaprop-ethyl at 0.18 kg in 200 l,"fluroxypyr , fenoxaprop-ethyl",1
CS326,1990,great knott,weedkiller,fenoxaprop-ethyl,0.18 kg in 200 l,fluroxypyr at 0.20 kg with fenoxaprop-ethyl at 0.18 kg in 200 l,"fluroxypyr , fenoxaprop-ethyl",1
CS326,1990,great knott,fungicide,chlorothalonil,1.0 kg,chlorothalonil at 1.0 kg with propiconazole at 0.12 kg in 200 l,"chlorothalonil , propiconazole",1
CS326,1990,great knott,fungicide,propiconazole,0.12 kg in 200 l,chlorothalonil at 1.0 kg with propiconazole at 0.12 kg in 200 l,"chlorothalonil , propiconazole",1
CS326,1990,far field,manures,nitram,120 kg,nitram at 120 kg followed by 560 kg,nitram,1
CS326,1990,far field,manures,2nd nitram,560 kg,nitram at 120 kg followed by 560 kg,nitram,1
CS326,1990,far field,weedkiller,glyphosate,0.36 kg in 220 l,glyphosate at 0.36 kg in 220 l,glyphosate,1
CS326,1990,far field,weedkiller,isoproturon,1.5 kg,isoproturon at 1.5 kg with isoxaben at 75 g in 220 l,"isoproturon , isoxaben g",1
CS326,1990,far field,weedkiller,isoxaben,75 g in 220 l,isoproturon at 1.5 kg with isoxaben at 75 g in 220 l,"isoproturon , isoxaben g",1
CS326,1990,far field,weedkiller,metsulfuron-methyl,6.0 g,metsulfuron-methyl at 6.0 g with fluroxypyr at 0.15 kg in 200 l,"metsulfuron-methyl g, fluroxypyr",1
CS326,1990,far field,weedkiller,fluroxypyr,0.15 kg in 200 l,metsulfuron-methyl at 6.0 g with fluroxypyr at 0.15 kg in 200 l,"metsulfuron-methyl g, fluroxypyr",1
CS326,1990,far field,fungicide,chlorothalonil,0.50 kg,chlorothalonil at 0.50 kg with propiconazole at 0.12 kg in 300 l,"chlorothalonil , propiconazole",1
CS326,1990,far field,fungicide,propiconazole,0.12 kg in 300 l,chlorothalonil at 0.50 kg with propiconazole at 0.12 kg in 300 l,"chlorothalonil , propiconazole",1
CS326,1991,great knott,manures,nitram,120 kg,nitram at 120 kg followed by 580 kg,nitram,1
CS326,1991,great knott,manures,2nd nitram,580 kg,nitram at 120 kg followed by 580 kg,nitram,1
CS326,1991,great knott,manures,(0:16:36),1040 kg,(0:16:36) at 1040 kg,( : : ),1
CS326,1991,great knott,weedkiller,glyphosate,0.27 kg in 200 l,glyphosate at 0.27 kg in 200 l,glyphosate,1
CS326,1991,great knott,weedkiller,tri-allate,2.2 kg,tri-allate at 2.2 kg,tri-allate,1
CS326,1991,great knott,weedkiller,isoproturon,1.3 kg,isoproturon at 1.3 kg and pendimethalin at 1.3 kg in 200 l,isoproturon and pendimethalin,1
CS326,1991,great knott,weedkiller,pendimethalin,1.3 kg in 200 l,isoproturon at 1.3 kg and pendimethalin at 1.3 kg in 200 l,isoproturon and pendimethalin,1
CS326,1991,great knott,fungicide,fenpropimorph,0.38 kg in 200 l,fenpropimorph at 0.38 kg in 200 l,fenpropimorph,1
CS326,1991,great knott,fungicide,propiconazole,0.25 kg in 200 l,propiconazole at 0.25 kg in 200 l,propiconazole,1
CS326,1991,far field,manures,magnesian limestone,7.5 t.,magnesian limestone at 7.5 t.,magnesian imestone t,1
CS326,1991,far field,manures,nitram,120 kg,nitram at 120 kg followed by 580 kg,nitram,1
CS326,1991,far field,manures,2nd nitram,580 kg,nitram at 120 kg followed by 580 kg,nitram,1
CS326,1991,far field,weedkiller,glyphosate,0.27 kg in 220 l,glyphosate at 0.27 kg in 220 l,glyphosate,1
CS326,1991,far field,weedkiller,tri-allate,1.7 kg in 220 l,tri-allate at 1.7 kg in 220 l,tri-allate,1
CS326,1991,far field,weedkiller,pendimethalin,1.3 kg,pendimethalin at 1.3 kg with isoproturon at 1.2 kg applied with the insecticide in 220 l,"pendimethalin , isoproturon applied, the secticide",1
CS326,1991,far field,weedkiller,isoproturon,1.2 kg,pendimethalin at 1.3 kg with isoproturon at 1.2 kg applied with the insecticide in 220 l,"pendimethalin , isoproturon applied, the secticide",1
CS326,1991,far field,fungicide,fenpropimorph,0.38 kg in 210 l,fenpropimorph at 0.38 kg in 210 l and on a second occasion with chlorothalonil at 0.49 kg and flutriafol at 78 g,"fenpropimorph and on a second occasion, chlorothalonil and flutriafol g",1
CS326,1991,far field,fungicide,on a second occasion,,fenpropimorph at 0.38 kg in 210 l and on a second occasion with chlorothalonil at 0.49 kg and flutriafol at 78 g,"fenpropimorph and on a second occasion, chlorothalonil and flutriafol g",1
CS326,1991,far field,fungicide,chlorothalonil,0.49 kg,fenpropimorph at 0.38 kg in 210 l and on a second occasion with chlorothalonil at 0.49 kg and flutriafol at 78 g,"fenpropimorph and on a second occasion, chlorothalonil and flutriafol g",1
CS326,1991,far field,fungicide,flutriafol,78 g,fenpropimorph at 0.38 kg in 210 l and on a second occasion with chlorothalonil at 0.49 kg and flutriafol at 78 g,"fenpropimorph and on a second occasion, chlorothalonil and flutriafol g",1
CS326,1991,far field,insecticide,deltamethrin,5.0 g,deltamethrin at 5.0 g,deltamethrin g,1
